ENTREZID,ENSEMBL,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
574029,NA,DUSP5P1,dual specificity phosphatase 5 pseudogene 1,-1.650934633,1.3272587,-8.252411619,0.000487353,0.005229927,0.428511635
84809,ENSG00000291072,CROCCP2,CROCC pseudogene 2,-1.121216599,3.642118922,-8.251574806,0.00048758,0.005230382,-0.066390916
255324,ENSG00000182585,EPGN,epithelial mitogen,1.619990612,2.956195556,8.250348666,0.000487912,0.005231969,0.090944335
57491,ENSG00000063438,AHRR,aryl hydrocarbon receptor repressor,0.844885552,3.719357545,8.247098584,0.000488794,0.005239447,-0.092770121
144100,ENSG00000166689,PLEKHA7,pleckstrin homology domain containing A7,-0.874613147,4.947814488,-8.243876806,0.00048967,0.005246566,-0.272685887
127253,ENSG00000162623,TYW3,tRNA-yW synthesizing protein 3 homolog,-0.950510316,4.123080074,-8.242585617,0.000490021,0.005246566,-0.160377186
27130,ENSG00000119509,INVS,inversin,-0.877506022,3.47936592,-8.242535193,0.000490035,0.005246566,-0.049470114
285908,ENSG00000179406,LINC00174,long intergenic non-protein coding RNA 174,-1.472868171,2.516276581,-8.241941586,0.000490197,0.005246566,0.173454798
813,ENSG00000128595,CALU,calumenin,0.592009055,7.71569273,8.240181622,0.000490677,0.005249725,-0.436572174
57462,ENSG00000164976,MYORG,myogenesis regulating glycosidase (putative),1.218846554,4.147490838,8.238655322,0.000491094,0.005252204,-0.159356107
4043,ENSG00000163956,LRPAP1,LDL receptor related protein associated protein 1,1.081327399,5.941736238,8.235365841,0.000491993,0.005256527,-0.364387528
84337,ENSG00000130165,ELOF1,elongation factor 1,1.556322918,4.907131487,8.23518836,0.000492042,0.005256527,-0.25778639
26353,ENSG00000152137,HSPB8,heat shock protein family B (small) member 8,1.333046609,2.706211405,8.23514675,0.000492053,0.005256527,0.120222999
23657,ENSG00000151012,SLC7A11,solute carrier family 7 member 11,-1.229600133,8.854224231,-8.231895437,0.000492944,0.005262288,-0.454514938
151176,ENSG00000178752,ERFE,erythroferrone,0.861238545,3.129681998,8.231827111,0.000492963,0.005262288,0.011614805
4665,ENSG00000166886,NAB2,NGFI-A binding protein 2,0.786310993,4.703261885,8.230055424,0.000493449,0.005265501,-0.255099591
6938,ENSG00000140262,TCF12,transcription factor 12,-1.137655995,5.712454997,-8.225121326,0.000494807,0.005274048,-0.353089203
92747,ENSG00000125999,BPIFB1,BPI fold containing family B member 1,-1.643379204,2.384402658,-8.224664919,0.000494933,0.005274048,0.199023847
83450,ENSG00000171962,DRC3,dynein regulatory complex subunit 3,-2.104782438,1.375868067,-8.223821941,0.000495166,0.005274048,0.421332449
54472,ENSG00000078902,TOLLIP,toll interacting protein,0.821440106,5.601936579,8.223778953,0.000495177,0.005274048,-0.349050282
7155,ENSG00000077097,TOP2B,DNA topoisomerase II beta,-0.592516054,7.422198,-8.223772852,0.000495179,0.005274048,-0.441557834
29121,ENSG00000069493,CLEC2D,C-type lectin domain family 2 member D,-1.652402683,3.011021385,-8.222108912,0.000495638,0.005274058,0.065094431
137682,ENSG00000156170,NDUFAF6,NADH:ubiquinone oxidoreductase complex assembly factor 6,-0.455273913,3.527662139,-8.054446679,0.000495918,0.005274058,-0.11572423
84549,ENSG00000198042,MAK16,MAK16 homolog,-0.654963388,3.894911917,-8.221086661,0.000495921,0.005274058,-0.144131709
